agent_name,size,dirt_rate,seed,repetition,initial_dirt,final_dirt,cells_cleaned,actions_taken,performance,success,is_finished,runtime_sec,recording
simple_reflex,4x4,0.8,777,1,0,0,0,161,-1.61,True,True,1.631,game_2025-08-25_17-44-55_julianfernandezrandomagent.json
random,4x4,0.8,888,1,0,0,0,493,-4.93,True,True,3.462,game_2025-08-25_17-44-59_julianfernandezrandomagent.json
simple_reflex,4x4,0.8,888,1,0,0,0,210,-2.1,True,True,1.656,game_2025-08-25_17-45-00_julianfernandezrandomagent.json
random,4x4,0.8,999,1,0,0,0,1000,-10.0,True,True,6.768,game_2025-08-25_17-45-07_julianfernandezrandomagent.json
simple_reflex,4x4,0.8,999,1,0,0,0,83,-0.8300000000000001,True,True,0.846,game_2025-08-25_17-45-08_julianfernandezrandomagent.json
random,4x4,0.8,0,1,0,0,0,420,-4.2,True,True,2.998,game_2025-08-25_17-45-11_julianfernandezrandomagent.json
simple_reflex,4x4,0.8,0,1,0,0,0,187,-1.87,True,True,1.52,game_2025-08-25_17-45-12_julianfernandezrandomagent.json
random,8x8,0.1,111,1,0,0,0,1000,-10.0,True,True,6.905,game_2025-08-25_17-45-19_julianfernandezrandomagent.json
simple_reflex,8x8,0.1,111,1,0,0,0,239,-2.39,True,True,1.887,game_2025-08-25_17-45-21_julianfernandezrandomagent.json
random,8x8,0.1,222,1,0,0,0,1000,-10.0,True,True,6.875,game_2025-08-25_17-45-28_julianfernandezrandomagent.json
simple_reflex,8x8,0.1,222,1,0,0,0,278,-2.7800000000000002,True,True,2.118,game_2025-08-25_17-45-30_julianfernandezrandomagent.json
random,8x8,0.1,333,1,0,0,0,1000,-10.0,True,True,6.775,game_2025-08-25_17-45-37_julianfernandezrandomagent.json
simple_reflex,8x8,0.1,333,1,0,0,0,195,-1.95,True,True,1.577,game_2025-08-25_17-45-39_julianfernandezrandomagent.json
random,8x8,0.1,444,1,0,0,0,1000,-10.0,True,True,6.805,game_2025-08-25_17-45-45_julianfernandezrandomagent.json
simple_reflex,8x8,0.1,444,1,0,0,0,401,-4.01,True,True,2.895,game_2025-08-25_17-45-48_julianfernandezrandomagent.json
random,8x8,0.1,555,1,0,0,0,1000,-10.0,True,True,19.574,game_2025-08-25_17-46-08_julianfernandezrandomagent.json
simple_reflex,8x8,0.1,555,1,0,0,0,589,-5.89,True,True,16.297,game_2025-08-25_17-46-24_julianfernandezrandomagent.json
random,8x8,0.1,666,1,0,0,0,1000,-10.0,True,True,8.35,game_2025-08-25_17-46-33_julianfernandezrandomagent.json
simple_reflex,8x8,0.1,666,1,0,0,0,210,-2.1,True,True,1.685,game_2025-08-25_17-46-34_julianfernandezrandomagent.json
random,8x8,0.1,777,1,0,0,0,1000,-10.0,True,True,6.908,game_2025-08-25_17-46-41_julianfernandezrandomagent.json
simple_reflex,8x8,0.1,777,1,0,0,0,309,-3.09,True,True,2.325,game_2025-08-25_17-46-44_julianfernandezrandomagent.json
random,8x8,0.1,888,1,0,0,0,762,-7.62,True,True,5.324,game_2025-08-25_17-46-49_julianfernandezrandomagent.json
simple_reflex,8x8,0.1,888,1,0,0,0,425,-4.25,True,True,3.122,game_2025-08-25_17-46-52_julianfernandezrandomagent.json
random,8x8,0.1,999,1,0,0,0,1000,-10.0,True,True,6.829,game_2025-08-25_17-46-59_julianfernandezrandomagent.json
simple_reflex,8x8,0.1,999,1,0,0,0,863,-8.63,True,True,6.019,game_2025-08-25_17-47-05_julianfernandezrandomagent.json
random,8x8,0.1,0,1,0,0,0,636,-6.36,True,True,4.465,game_2025-08-25_17-47-10_julianfernandezrandomagent.json
simple_reflex,8x8,0.1,0,1,0,0,0,394,-3.94,True,True,2.907,game_2025-08-25_17-47-13_julianfernandezrandomagent.json
random,8x8,0.2,111,1,0,0,0,1000,-10.0,True,True,6.823,game_2025-08-25_17-47-19_julianfernandezrandomagent.json
simple_reflex,8x8,0.2,111,1,0,0,0,368,-3.68,True,True,2.706,game_2025-08-25_17-47-22_julianfernandezrandomagent.json
random,8x8,0.2,222,1,0,0,0,1000,-10.0,True,True,6.841,game_2025-08-25_17-47-29_julianfernandezrandomagent.json
simple_reflex,8x8,0.2,222,1,0,0,0,369,-3.69,True,True,2.719,game_2025-08-25_17-47-32_julianfernandezrandomagent.json
