algorithm_name,env_n,size,best_solution,H,states,time
SA,2,10,"[9, 1, 6, 4, 2, 0, 8, 4, 7, 3]",1,1839,0.014257192611694336
SA,3,10,"[6, 2, 9, 1, 4, 8, 3, 0, 7, 5]",0,587,0.004648685455322266
SA,4,10,"[4, 7, 0, 2, 5, 8, 6, 9, 3, 1]",0,495,0.0040471553802490234
SA,5,10,"[4, 8, 1, 3, 7, 0, 2, 5, 9, 6]",0,1295,0.01018214225769043
SA,6,10,"[7, 2, 4, 8, 0, 5, 9, 6, 1, 3]",0,1221,0.009523153305053711
SA,7,10,"[4, 7, 9, 0, 2, 5, 8, 6, 1, 3]",0,436,0.003402233123779297
SA,8,10,"[4, 6, 9, 0, 2, 5, 7, 1, 4, 8]",1,1839,0.014484167098999023
SA,9,10,"[3, 4, 7, 1, 8, 5, 0, 6, 9, 2]",1,1839,0.014453411102294922
SA,10,10,"[9, 6, 3, 0, 7, 1, 8, 5, 2, 4]",0,397,0.0032052993774414062
SA,11,10,"[2, 4, 6, 9, 3, 5, 0, 8, 1, 7]",0,577,0.004533052444458008
SA,12,10,"[3, 6, 9, 2, 4, 1, 8, 5, 7, 0]",1,1839,0.014706611633300781
SA,13,10,"[9, 4, 0, 8, 3, 1, 7, 9, 2, 6]",1,1839,0.014376401901245117
SA,14,10,"[8, 1, 4, 2, 0, 9, 7, 5, 3, 6]",0,1490,0.011668205261230469
SA,15,10,"[0, 7, 5, 1, 8, 6, 3, 9, 2, 4]",0,1193,0.009389400482177734
SA,16,10,"[4, 7, 1, 3, 9, 6, 8, 5, 2, 0]",0,1219,0.009476184844970703
