algorithm_name,env_n,states_n,actions_count,actions_cost,time,solution_found,scenario
DFS,23,1148,152,1124,0.0024805068969726562,True,scenario2
DLS50,23,377,0,0,0.0006594657897949219,False,scenario2
DLS75,23,554,0,0,0.0010197162628173828,False,scenario2
DLS100,23,629,0,0,0.0011725425720214844,False,scenario2
UCS,23,8582,96,834,0.028322696685791016,True,scenario2
A*,23,1008,96,834,0.002828359603881836,True,scenario2
RANDOM,24,340,0,0,0.002192974090576172,False,scenario1
BFS,24,2106,49,49,0.0030527114868164062,True,scenario1
DFS,24,5141,415,415,0.015157938003540039,True,scenario1
DLS50,24,693,0,0,0.001276254653930664,False,scenario1
DLS75,24,1806,0,0,0.003603219985961914,False,scenario1
DLS100,24,2444,0,0,0.0047664642333984375,False,scenario1
UCS,24,2107,49,49,0.005690574645996094,True,scenario1
A*,24,2107,49,49,0.005454063415527344,True,scenario1
RANDOM,24,155,0,0,0.0018954277038574219,False,scenario2
BFS,24,2106,49,94,0.0032231807708740234,True,scenario2
DFS,24,5141,415,2674,0.01473689079284668,True,scenario2
DLS50,24,693,0,0,0.0013206005096435547,False,scenario2
DLS75,24,1806,0,0,0.003774404525756836,False,scenario2
DLS100,24,2444,0,0,0.0047092437744140625,False,scenario2
UCS,24,563,49,94,0.001546621322631836,True,scenario2
A*,24,141,49,94,0.0004246234893798828,True,scenario2
RANDOM,25,253,0,0,0.0019385814666748047,False,scenario1
BFS,25,3259,69,69,0.005150794982910156,True,scenario1
DFS,25,5849,369,369,0.017461538314819336,True,scenario1
DLS50,25,1081,0,0,0.0019681453704833984,False,scenario1
DLS75,25,2273,0,0,0.004209041595458984,False,scenario1
DLS100,25,623,89,89,0.0009458065032958984,True,scenario1
UCS,25,3266,69,69,0.008668661117553711,True,scenario1
A*,25,3266,69,69,0.008036375045776367,True,scenario1
RANDOM,25,229,0,0,0.001678466796875,False,scenario2
BFS,25,3259,69,510,0.004737377166748047,True,scenario2
DFS,25,5849,369,2196,0.014196157455444336,True,scenario2
DLS50,25,1081,0,0,0.001953125,False,scenario2
DLS75,25,2273,0,0,0.004191398620605469,False,scenario2
DLS100,25,623,89,710,0.0009248256683349609,True,scenario2
UCS,25,5267,69,510,0.01726841926574707,True,scenario2
A*,25,877,69,510,0.0027472972869873047,True,scenario2
RANDOM,26,357,0,0,0.0016632080078125,False,scenario1
BFS,26,8702,118,118,0.01381373405456543,True,scenario1
DFS,26,309,194,194,0.0005693435668945312,True,scenario1
DLS50,26,1260,0,0,0.0019452571868896484,False,scenario1
DLS75,26,2562,0,0,0.004126071929931641,False,scenario1
DLS100,26,3313,0,0,0.005487680435180664,False,scenario1
UCS,26,8702,118,118,0.024741649627685547,True,scenario1
A*,26,8702,118,118,0.026750802993774414,True,scenario1
RANDOM,26,264,0,0,0.001741647720336914,False,scenario2
BFS,26,8702,118,496,0.013854742050170898,True,scenario2
DFS,26,309,194,1238,0.0006144046783447266,True,scenario2
DLS50,26,1260,0,0,0.0019021034240722656,False,scenario2
DLS75,26,2562,0,0,0.00406193733215332,False,scenario2
DLS100,26,3313,0,0,0.005578756332397461,False,scenario2
UCS,26,6641,118,496,0.020017147064208984,True,scenario2
A*,26,2871,118,496,0.009389162063598633,True,scenario2
RANDOM,27,263,0,0,0.0016944408416748047,False,scenario1
BFS,27,5554,73,73,0.00793147087097168,True,scenario1
DFS,27,7038,353,353,0.015869140625,True,scenario1
DLS50,27,947,0,0,0.0017747879028320312,False,scenario1
DLS75,27,1337,0,0,0.0023720264434814453,False,scenario1
DLS100,27,1864,0,0,0.0033216476440429688,False,scenario1
UCS,27,5535,73,73,0.01697516441345215,True,scenario1
A*,27,5535,73,73,0.01743173599243164,True,scenario1
RANDOM,27,366,0,0,0.0017092227935791016,False,scenario2
BFS,27,5554,73,145,0.008878469467163086,True,scenario2
DFS,27,7038,353,2477,0.015813112258911133,True,scenario2
DLS50,27,947,0,0,0.002717733383178711,False,scenario2
DLS75,27,1337,0,0,0.004082441329956055,False,scenario2
DLS100,27,1864,0,0,0.005745410919189453,False,scenario2
UCS,27,1900,73,145,0.007405996322631836,True,scenario2
A*,27,245,73,145,0.0006630420684814453,True,scenario2
RANDOM,28,306,0,0,0.0015625953674316406,False,scenario1
BFS,28,1064,27,27,0.001832723617553711,True,scenario1
DFS,28,7850,413,413,0.021349668502807617,True,scenario1
DLS50,28,944,0,0,0.0018453598022460938,False,scenario1
DLS75,28,1050,0,0,0.001861572265625,False,scenario1
DLS100,28,2388,0,0,0.0045452117919921875,False,scenario1
UCS,28,1046,27,27,0.0024383068084716797,True,scenario1
A*,28,1046,27,27,0.002428293228149414,True,scenario1
RANDOM,28,405,0,0,0.0017032623291015625,False,scenario2
BFS,28,1064,27,171,0.0014357566833496094,True,scenario2
DFS,28,7850,413,2375,0.01862049102783203,True,scenario2
DLS50,28,944,0,0,0.0016527175903320312,False,scenario2
DLS75,28,1050,0,0,0.0016443729400634766,False,scenario2
DLS100,28,2388,0,0,0.0044689178466796875,False,scenario2
UCS,28,2441,27,171,0.0067996978759765625,True,scenario2
A*,28,188,27,171,0.0005097389221191406,True,scenario2
RANDOM,29,325,0,0,0.001611948013305664,False,scenario1
BFS,29,1607,53,53,0.0021724700927734375,True,scenario1
DFS,29,3055,171,171,0.00611567497253418,True,scenario1
DLS50,29,185,0,0,0.0003018379211425781,False,scenario1
DLS75,29,283,0,0,0.0004305839538574219,False,scenario1
DLS100,29,445,0,0,0.0007045269012451172,False,scenario1
UCS,29,1562,53,53,0.0034296512603759766,True,scenario1
A*,29,1562,53,53,0.003480195999145508,True,scenario1
RANDOM,29,235,0,0,0.0015552043914794922,False,scenario2
BFS,29,1607,53,107,0.0020751953125,True,scenario2
DFS,29,3055,171,1125,0.005501508712768555,True,scenario2
DLS50,29,185,0,0,0.0002827644348144531,False,scenario2
DLS75,29,283,0,0,0.00042510032653808594,False,scenario2
DLS100,29,445,0,0,0.0006937980651855469,False,scenario2
UCS,29,633,53,107,0.0015227794647216797,True,scenario2
A*,29,192,53,107,0.0004780292510986328,True,scenario2
RANDOM,30,358,0,0,0.0015506744384765625,False,scenario1
